State,Year,Number of immigrants,number male,number female,occupation,leading countries of birth,age,marital staus
 Colorado,2006,5526,2585,2941, Management/ professional/ and related occupations, Mexico, 35-44 years, ?
 Colorado,2007,7829,3550,4279, Management/ professional/ and related occupations, Mexico, 35-44 years, ?
 Colorado,2008,11972,5404,6568, Management/ professional/ and related occupations, Mexico, 35-44 years, ?
 Colorado,2009,6813,3166,3647, Management/ professional/ and related occupations, Mexico, 35-44 years, ?
 Colorado,2010,7165,3404,3761, Management/ professional/ and related occupations, Mexico, 35-44 years, ?
 Connecticut,2003,4284,1851,2433, Professional and technical, ?, 35-44 years, ?
 Connecticut,2004,5957,2635,3322, Professional and technical, ?, 35-44 years, ?
 Connecticut,2005,8169,3670,4499, Professional and technical, ?, 35-44 years, ?
 Connecticut,2006,7231,3214,4017, Students or children, Jamaica, 35-44 years, ?
 Connecticut,2007,4552,2015,2537, Management/ professional/ and related occupations, India, 35-44 years, ?
 Connecticut,2008,9589,4068,5521, Management/ professional/ and related occupations, Jamaica, 35-44 years, ?
 Connecticut,2009,10421,4768,5653, Management/ professional/ and related occupations, India, 35-44 years, ?
 Connecticut,2010,7452,3465,3987, Management/ professional/ and related occupations, India, 35-44 years, ?
 Delaware,2003,707,352,355, Professional and technical, ?, 35-44 years, ?
 Delaware,2004,982,472,510, Professional and technical, ?, 35-44 years, ?
 Delaware,2005,945,437,508, Executive and managerial, ?, 35-44 years, ?
 Delaware,2006,1187,528,659, Management/ professional/ and related occupations, India, 35-44 years, ?
 Delaware,2007,1094,527,567, Management/ professional/ and related occupations, India, 35-44 years, ?
 Delaware,2008,1425,660,765, Management/ professional/ and related occupations, India, 35-44 years, ?
 Delaware,2009,1545,762,783, Management/ professional/ and related occupations, India, 35-44 years, ?
 Delaware,2010,1829,892,937, Management/ professional/ and related occupations, India, 35-44 years, ?
 District of Columbia,2003,852,382,470, Service, ?, 25-34 years, ?
 District of Columbia,2004,882,420,462, Service, ?, 25-34 years, ?
 District of Columbia,2005,939,386,553, Service, ?, 35-44 years, ?
 District of Columbia,2006,1089,479,610, Students or children, Ethiopia, 35-44 years, ?
 District of Columbia,2007,1334,626,708, Students or children, El Salvador, 35-44 years, ?
 District of Columbia,2008,1492,669,823, Management/ professional/ and related occupations, El Salvador, 35-44 years, ?
 District of Columbia,2009,2188,955,1233, Management/ professional/ and related occupations, Ethiopia, 35-44 years, ?
 District of Columbia,2010,1319,596,723, Management/ professional/ and related occupations, Ethiopia, 35-44 years, ?
 Florida,2003,35105,15742,19363, Service, ?, 35-44 years, ?
 Florida,2004,43795,19069,24726, Professional and technical, ?, 35-44 years, ?
 Florida,2005,42999,18153,24846, Professional and technical, ?, 35-44 years, ?
 Florida,2006,90846,38857,51989, Management/ professional/ and related occupations, Cuba, 35-44 years, ?
 Florida,2007,54563,23441,31122, Management/ professional/ and related occupations, Cuba, 35-44 years, ?
 Florida,2008,128328,53135,75193, Management/ professional/ and related occupations, Cuba, 35-44 years, ?
 Florida,2009,82788,38240,44548, Management/ professional/ and related occupations, Cuba, 35-44 years, ?
 Florida,2010,67484,30479,37005, Management/ professional/ and related occupations, Cuba, 35-44 years, ?
 Georgia,2003,11068,5337,5731, Professional and technical, ?, 35-44 years, ?
 Georgia,2004,6880,3422,3458, Professional and technical, ?, 35-44 years, ?
 Georgia,2005,7903,3671,4232, Professional and technical, ?, 35-44 years, ?
 Georgia,2006,19785,9069,10716, Management/ professional/ and related occupations, India, 35-44 years, ?
 Georgia,2007,14181,6452,7729, Management/ professional/ and related occupations, Mexico, 35-44 years, ?
 Georgia,2008,20417,9418,10999, Management/ professional/ and related occupations, Mexico, 35-44 years, ?
 Georgia,2009,15408,7427,7981, Management/ professional/ and related occupations, India, 35-44 years, ?
 Georgia,2010,18253,8775,9478, Management/ professional/ and related occupations, India, 35-44 years, ?
 Guam,2008,998,440,558, Management/ professional/ and related occupations, Philippines, 35-44 years, ?
 Guam,2009,654,301,353, Management/ professional/ and related occupations, Philippines, 25-34 years, ?
 Guam,2010,644,292,352, Management/ professional/ and related occupations, Philippines, 25-34 years, ?
 Hawaii,2003,2287,955,1332, Service, ?, 25-34 years, ?
 Hawaii,2004,2050,945,1105, Military, ?, 25-34 years, ?
 Hawaii,2005,4663,1715,2948, Service, ?, 25-34 years, ?
 Hawaii,2006,5276,2226,3050, Military, Philippines, 25-34 years, ?
 Hawaii,2007,4521,1780,2741, Service occupations, Philippines, 25-34 years, ?
 Hawaii,2008,5205,2092,3113, Service occupations, Philippines, 25-34 years, ?
 Hawaii,2009,3744,1538,2206, Management/ professional/ and related occupations, Philippines, 25-34 years, ?
 Hawaii,2010,3190,1382,1808, Service occupations, Philippines, 25-34 years, ?
 Idaho,2003,56,20,36, Professional and technical, ?, 35-44 years, ?
 Idaho,2004,864,408,456, Service, ?, 25-34 years, ?
 Idaho,2005,1097,488,609, Operators/ fabricators/ laborers, ?, 35-44 years, ?
 Idaho,2006,980,444,536, Management/ professional/ and related occupations, Mexico, 35-44 years, ?
 Idaho,2007,1261,554,707, Production/ transportation/ and material moving occupations, Mexico, 35-44 years, ?
 Idaho,2008,2240,994,1246, Production/ transportation/ and material moving occupations, Mexico, 35-44 years, ?
 Idaho,2009,1674,797,877, Management/ professional/ and related occupations, Mexico, 35-44 years, ?
 Idaho,2010,1102,513,589, Management/ professional/ and related occupations, Mexico, 25-34 years, ?
 Illinois,2003,23401,11199,12202, Operators/ fabricators/ laborers, ?, 25-34 years, ?
 Illinois,2004,29432,13641,15791, Operators/ fabricators/ laborers, ?, 35-44 years, ?
 Illinois,2005,27739,12882,14857, Professional and technical, ?, 25-34 years, ?
 Illinois,2006,30156,13635,16521, Management/ professional/ and related occupations, Mexico, 35-44 years, ?
 Illinois,2007,38735,17831,20904, Management/ professional/ and related occupations, Mexico, 35-44 years, ?
 Illinois,2008,45224,20608,24615, Management/ professional/ and related occupations, Mexico, 35-44 years, ?
 Illinois,2009,28112,13887,14225, Management/ professional/ and related occupations, Mexico, 35-44 years, ?
 Illinois,2010,26180,12579,13601, Management/ professional/ and related occupations, Mexico, 35-44 years, ?
 Indiana,2003,2725,1284,1441, Professional and technical, ?, 35-44 years, ?
 Indiana,2004,2455,1198,1257, Professional and technical, ?, 35-44 years, ?
 Indiana,2005,2650,1264,1386, Professional and technical, ?, 35-44 years, ?
 Indiana,2006,3885,1809,2076, Management/ professional/ and related occupations, Mexico, 35-44 years, ?
 Indiana,2007,3652,1672,1980, Management/ professional/ and related occupations, Mexico, 35-44 years, ?
 Indiana,2008,5104,2389,2715, Management/ professional/ and related occupations, Mexico, 35-44 years, ?
 Indiana,2009,4261,2101,2160, Management/ professional/ and related occupations, Mexico, 35-44 years, ?
 Indiana,2010,3866,1869,1997, Management/ professional/ and related occupations, India, 35-44 years, ?
 Iowa,2003,1123,557,566, Operators/ fabricators/ laborers, ?, 25-34 years, ?
 Iowa,2004,1314,633,681, Operators/ fabricators/ laborers, ?, 25-34 years, ?
 Iowa,2005,234,121,113, Operators/ fabricators/ laborers, ?, 25-34 years, ?
 Iowa,2006,805,396,409, Production/ transportation/ and material moving occupations, Mexico, 25-34 years, ?
 Iowa,2007,2093,983,1110, Production/ transportation/ and material moving occupations, Mexico, 35-44 years, ?
 Iowa,2008,3503,1626,1877, Production/ transportation/ and material moving occupations, Mexico, 35-44 years, ?
 Iowa,2009,2198,1080,1118, Management/ professional/ and related occupations, Mexico, 35-44 years, ?
 Iowa,2010,1858,920,938, Management/ professional/ and related occupations, Mexico, 35-44 years, ?
 Kansas,2003,1897,904,993, Professional and technical, ?, 25-34 years, ?
 Kansas,2004,2093,977,1116, Operators/ fabricators/ laborers, ?, 25-34 years, ?
 Kansas,2005,1814,823,991, Operators/ fabricators/ laborers, ?, 25-34 years, ?
 Kansas,2006,2509,1197,1312, Production/ transportation/ and material moving occupations, Mexico, 25-34 years, ?
 Kansas,2007,2406,1137,1269, Production/ transportation/ and material moving occupations, Mexico, 35-44 years, ?
 Kansas,2008,4072,1837,2235, Production/ transportation/ and material moving occupations, Mexico, 35-44 years, ?
 Kansas,2009,3129,1507,1622, Management/ professional/ and related occupations, Mexico, 35-44 years, ?
 Kansas,2010,2492,1217,1275, Management/ professional/ and related occupations, Mexico, 35-44 years, ?
 Kentucky,2003,1543,754,789, Professional and technical, ?, 25-34 years, ?
 Kentucky,2004,1307,678,629, Professional and technical, ?, 35-44 years, ?
 Kentucky,2005,1820,870,950, Military, ?, 25-34 years, ?
 Kentucky,2006,2049,954,1095, Students or children, Bosnia and Herzegovina, 35-44 years, ?
 Kentucky,2007,2256,1010,1246, Management/ professional/ and related occupations, Bosnia and Herzegovina, 35-44 years, ?
 Kentucky,2008,3093,1438,1655, Management/ professional/ and related occupations, Bosnia and Herzegovina, 35-44 years, ?
 Kentucky,2009,2390,1237,1153, Management/ professional/ and related occupations, India, 35-44 years, ?
 Kentucky,2010,2398,1258,1140, Management/ professional/ and related occupations, India, 35-44 years, ?
 Louisiana,2003,1702,819,883, Service, ?, 35-44 years, ?
 Louisiana,2004,1458,711,747, Professional and technical, ?, 35-44 years, ?
 Louisiana,2005,1700,795,905, Professional and technical, ?, 25-34 years, ?
 Louisiana,2006,1336,598,738, Management/ professional/ and related occupations, Vietnam, 35-44 years, ?
 Louisiana,2007,2240,1009,1231, Management/ professional/ and related occupations, Vietnam, 35-44 years, ?
 Louisiana,2008,3018,1300,1716, Management/ professional/ and related occupations, Vietnam, 35-44 years, ?
 Louisiana,2009,3402,1697,1705, Management/ professional/ and related occupations, Vietnam, 35-44 years, ?
 Louisiana,2010,2423,1166,1257, Management/ professional/ and related occupations, Vietnam, 35-44 years, ?
 Maine,2003,427,183,244, Operators/ fabricators/ laborers, ?, 25-34 years, ?
 Maine,2004,548,221,327, Professional and technical, ?, 35-44 years, ?
 Maine,2005,772,333,439, Professional and technical, ?, 35-44 years, ?
 Maine,2006,802,340,462, Management/ professional/ and related occupations, Somalia, 35-44 years, ?
 Maine,2007,728,293,435, Students or children, Somalia, 25-34 years, ?
 Maine,2008,924,382,542, Students or children, Canada, 35-44 years, ?
 Maine,2009,729,338,391, Management/ professional/ and related occupations, Somalia, 35-44 years, ?
 Maine,2010,839,375,464, Unemployed, Somalia, 35-44 years, ?
 Maryland,2003,13836,6165,7671, Professional and technical, ?, 35-44 years, ?
 Maryland,2004,12295,5388,6907, Professional and technical, ?, 35-44 years, ?
 Maryland,2005,11503,4820,6683, Professional and technical, ?, 35-44 years, ?
 Maryland,2006,14465,6194,8271, Management/ professional/ and related occupations, India, 35-44 years, ?
 Maryland,2007,11613,5146,6467, Management/ professional/ and related occupations, India, 35-44 years, ?
 Maryland,2008,23342,10147,13195, Management/ professional/ and related occupations, El Salvador, 35-44 years, ?
 Maryland,2009,17099,8269,8830, Management/ professional/ and related occupations, India, 35-44 years, ?
 Maryland,2010,16220,7536,8684, Management/ professional/ and related occupations, India, 35-44 years, ?
 Massachusetts,2003,11461,5189,6272, Professional and technical, ?, 35-44 years, ?
 Massachusetts,2004,16263,7395,8868, Professional and technical, ?, 35-44 years, ?
 Massachusetts,2005,22685,10034,12651, Professional and technical, ?, 35-44 years, ?
 Massachusetts,2006,22932,10154,12778, Students or children, Dominican Republic, 35-44 years, ?
 Massachusetts,2007,20952,9384,11568, Management/ professional/ and related occupations, Dominican Republic, 35-44 years, ?
 Massachusetts,2008,28728,12689,16039, Management/ professional/ and related occupations, Dominican Republic, 35-44 years, ?
 Massachusetts,2009,21748,10447,11301, Management/ professional/ and related occupations, Dominican Republic, 35-44 years, ?
 Massachusetts,2010,21095,9993,11102, Management/ professional/ and related occupations, India, 35-44 years, ?
 Michigan,2003,5191,2468,2723, Professional and technical, ?, 35-44 years, ?
 Michigan,2004,14615,6854,7761, Professional and technical, ?, 35-44 years, ?
 Michigan,2005,11418,5457,5961, Professional and technical, ?, 25-34 years, ?
 Michigan,2006,11675,5446,6229, Management/ professional/ and related occupations, India, 35-44 years, ?
 Michigan,2007,10678,4946,5732, Management/ professional/ and related occupations, India, 35-44 years, ?
 Michigan,2008,14634,6776,7858, Management/ professional/ and related occupations, India, 35-44 years, ?
 Michigan,2009,10703,5288,5415, Management/ professional/ and related occupations, India, 35-44 years, ?
 Michigan,2010,11162,5463,5698, Management/ professional/ and related occupations, India, 35-44 years, ?
 Minnesota,2003,6226,2693,3533, Operators/ fabricators/ laborers, ?, 25-34 years, ?
 Minnesota,2004,7713,3439,4274, Operators/ fabricators/ laborers, ?, 25-34 years, ?
 Minnesota,2005,7383,3348,4035, Operators/ fabricators/ laborers, ?, 25-34 years, ?
 Minnesota,2006,9137,4234,4903, Students or children, Somalia, 25-34 years, ?
 Minnesota,2007,9124,4119,5005, Management/ professional/ and related occupations, Somalia, 25-34 years, ?
 Minnesota,2008,9220,4203,5017, Management/ professional/ and related occupations, Somalia, 35-44 years, ?
 Minnesota,2009,9089,4342,4747, Management/ professional/ and related occupations, Somalia, 25-34 years, ?
 Minnesota,2010,9020,4206,4814, Management/ professional/ and related occupations, Somalia, 25-34 years, ?
 Mississippi,2003,445,199,246, Professional and technical, ?, 35-44 years, ?
 Mississippi,2004,557,253,304, Professional and technical, ?, 35-44 years, ?
 Mississippi,2005,520,252,268, Professional and technical, ?, 35-44 years, ?
 Mississippi,2006,495,214,281, Management/ professional/ and related occupations, India, 25-34 years, ?
 Mississippi,2007,657,296,361, Management/ professional/ and related occupations, India, 35-44 years, ?
 Mississippi,2008,944,398,546, Management/ professional/ and related occupations, Vietnam, 35-44 years, ?
 Mississippi,2009,1170,569,601, Management/ professional/ and related occupations, Vietnam, 35-44 years, ?
 Mississippi,2010,967,470,497, Management/ professional/ and related occupations, India, 35-44 years, ?
 Missouri,2003,3255,1547,1708, Operators/ fabricators/ laborers, ?, 35-44 years, ?
 Missouri,2004,3999,1856,2143, Professional and technical, ?, 35-44 years, ?
 Missouri,2005,2733,1268,1465, Professional and technical, ?, 35-44 years, ?
 Missouri,2006,3711,1622,2089, Management/ professional/ and related occupations, Bosnia and Herzegovina, 35-44 years, ?
 Missouri,2007,4237,1803,2434, Management/ professional/ and related occupations, Bosnia and Herzegovina, 35-44 years, ?
 Missouri,2008,5849,2665,3184, Management/ professional/ and related occupations, Bosnia and Herzegovina, 35-44 years, ?
 Missouri,2009,4526,2166,2360, Management/ professional/ and related occupations, Bosnia and Herzegovina, 35-44 years, ?
 Missouri,2010,4388,2102,2286, Management/ professional/ and related occupations, India, 35-44 years, ?
 Montana,2003,81,33,48, Service, ?, 35-44 years, ?
 Montana,2004,285,107,178, Professional and technical, ?, 35-44 years, ?
 Montana,2005,209,65,144, Professional and technical, ?, 25-34 years, ?
 Montana,2006,225,82,143, Management/ professional/ and related occupations, Canada, 35-44 years, ?
 Montana,2007,251,84,167, Management/ professional/ and related occupations, Canada, 35-44 years, ?
 Montana,2008,358,113,245, Management/ professional/ and related occupations, Canada, 35-44 years, ?
 Montana,2009,267,91,176, Management/ professional/ and related occupations, Canada, 25-34 years, ?
 Montana,2010,259,81,178, Management/ professional/ and related occupations, Canada, 35-44 years, ?
 Nebraska,2003,789,423,366, Operators/ fabricators/ laborers, ?, 25-34 years, ?
 Nebraska,2004,1537,789,748, Operators/ fabricators/ laborers, ?, 25-34 years, ?
 Nebraska,2005,1365,647,718, Operators/ fabricators/ laborers, ?, 25-34 years, ?
 Nebraska,2006,1797,873,924, Production/ transportation/ and material moving occupations, Mexico, 35-44 years, ?
 Nebraska,2007,2188,1070,1118, Production/ transportation/ and material moving occupations, Mexico, 25-34 years, ?
 Nebraska,2008,2866,1358,1508, Production/ transportation/ and material moving occupations, Mexico, 35-44 years, ?
 Nebraska,2009,1644,825,819, Production/ transportation/ and material moving occupations, Mexico, 35-44 years, ?
 Nebraska,2010,1590,756,834, Production/ transportation/ and material moving occupations, Mexico, 25-34 years, ?
 Nevada,2003,4095,1761,2334, Service, ?, 25-34 years, ?
 Nevada,2004,4622,2053,2569, Service, ?, 35-44 years, ?
 Nevada,2005,5901,2472,3429, Service, ?, 25-34 years, ?
 Nevada,2006,8202,3602,4600, Service occupations, Mexico, 35-44 years, ?
 Nevada,2007,8363,3592,4771, Service occupations, Mexico, 35-44 years, ?
 Nevada,2008,13150,5620,7530, Service occupations, Mexico, 35-44 years, ?
 Nevada,2009,8470,3708,4762, Management/ professional/ and related occupations, Mexico, 35-44 years, ?
 Nevada,2010,6791,3136,3655, Service occupations, Philippines, 35-44 years, ?
 New Hampshire,2003,1027,497,530, Professional and technical, ?, 35-44 years, ?
 New Hampshire,2004,958,444,514, Professional and technical, ?, 35-44 years, ?
 New Hampshire,2005,971,445,526, Professional and technical, ?, 35-44 years, ?
 New Hampshire,2006,2483,1092,1391, Management/ professional/ and related occupations, Bosnia and Herzegovina, 35-44 years, ?
 New Hampshire,2007,1821,786,1035, Management/ professional/ and related occupations, India, 35-44 years, ?
 New Hampshire,2008,1617,733,884, Management/ professional/ and related occupations, India, 35-44 years, ?
 New Hampshire,2009,1492,691,801, Management/ professional/ and related occupations, India, 35-44 years, ?
 New Hampshire,2010,1670,803,867, Management/ professional/ and related occupations, India, 35-44 years, ?
 New Jersey,2003,22968,10518,12450, Professional and technical, ?, 35-44 years, ?
 New Jersey,2004,30291,14090,16201, Professional and technical, ?, 35-44 years, ?
 New Jersey,2005,33160,14956,18204, Operators/ fabricators/ laborers, ?, 35-44 years, ?
 New Jersey,2006,39801,17763,22038, Management/ professional/ and related occupations, India, 35-44 years, ?
 New Jersey,2007,35235,16064,19171, Management/ professional/ and related occupations, India, 35-44 years, ?
 New Jersey,2008,59950,26332,33612, Management/ professional/ and related occupations, India, 35-44 years, ?
 New Jersey,2009,35077,16874,18203, Management/ professional/ and related occupations, India, 35-44 years, ?
 New Jersey,2010,33864,15960,17897, Management/ professional/ and related occupations, India, 35-44 years, ?
 New Mexico,2003,993,418,575, Professional and technical, ?, 25-34 years, ?
 New Mexico,2004,1449,634,815, Professional and technical, ?, 25-34 years, ?
 New Mexico,2005,1401,593,808, Military, ?, 25-34 years, ?
 New Mexico,2006,1538,695,843, Students or children, Mexico, 25-34 years, ?
 New Mexico,2007,1704,718,986, Students or children, Mexico, 25-34 years, ?
 New Mexico,2008,3058,1320,1738, Students or children, Mexico, 35-44 years, ?
 New Mexico,2009,3062,1419,1643, Management/ professional/ and related occupations, Mexico, 35-44 years, ?
 New Mexico,2010,2205,1010,1195, Management/ professional/ and related occupations, Mexico, 35-44 years, ?
 New York,2003,63888,28358,35530, Service, ?, 35-44 years, ?
 New York,2004,66234,31022,35212, Service, ?, 35-44 years, ?
 New York,2005,84624,37726,46898, Service, ?, 35-44 years, ?
 New York,2006,103870,46434,57436, Students or children, Dominican Republic, 25-34 years, ?
 New York,2007,73676,32859,40817, Students or children, Dominican Republic, 35-44 years, ?
 New York,2008,90572,39698,50873, Students or children, Dominican Republic, 35-44 years, ?
 New York,2009,88733,41353,47380, Management/ professional/ and related occupations, Dominican Republic, 35-44 years, ?
 New York,2010,67972,31474,36498, Management/ professional/ and related occupations, China, 25-34 years, ?
 North Carolina,2003,3577,1925,1652, Military, ?, 25-34 years, ?
 North Carolina,2004,5084,2707,2377, Professional and technical, ?, 35-44 years, ?
 North Carolina,2005,5862,2982,2880, Professional and technical, ?, 35-44 years, ?
 North Carolina,2006,12592,6128,6464, Management/ professional/ and related occupations, India, 35-44 years, ?
 North Carolina,2007,6606,3257,3349, Management/ professional/ and related occupations, Mexico, 35-44 years, ?
 North Carolina,2008,8509,4180,4329, Management/ professional/ and related occupations, Mexico, 35-44 years, ?
 North Carolina,2009,16294,7848,8446, Management/ professional/ and related occupations, Mexico, 35-44 years, ?
 North Carolina,2010,9988,4863,5125, Management/ professional/ and related occupations, India, 35-44 years, ?
 North Dakota,2003,146,63,83, Professional and technical, ?, 25-34 years, ?
 North Dakota,2004,267,137,130, Military, ?, 25-34 years, ?
 North Dakota,2005,203,96,107, Military, ?, 25-34 years, ?
 North Dakota,2006,329,160,169, Management/ professional/ and related occupations, Bosnia and Herzegovina, 35-44 years, ?
 North Dakota,2007,415,205,210, Production/ transportation/ and material moving occupations, Bosnia and Herzegovina, 25-34 years, ?
 North Dakota,2008,336,148,188, Management/ professional/ and related occupations, Bosnia and Herzegovina, 25-34 years, ?
 North Dakota,2009,273,127,146, Management/ professional/ and related occupations, Bosnia and Herzegovina, 25-34 years, ?
 North Dakota,2010,286,120,166, Management/ professional/ and related occupations, Philippines, 35-44 years, ?
 Ohio,2003,2764,1232,1532, Professional and technical, ?, 35-44 years, ?
 Ohio,2004,8590,4065,4525, Professional and technical, ?, 35-44 years, ?
 Ohio,2005,9415,4307,5108, Professional and technical, ?, 35-44 years, ?
 Ohio,2006,8796,4019,4777, Management/ professional/ and related occupations, India, 35-44 years, ?
 Ohio,2007,9250,4183,5067, Management/ professional/ and related occupations, India, 35-44 years, ?
 Ohio,2008,11142,5183,5958, Management/ professional/ and related occupations, India, 35-44 years, ?
 Ohio,2009,8072,4003,4069, Management/ professional/ and related occupations, India, 35-44 years, ?
 Ohio,2010,8617,4258,4359, Management/ professional/ and related occupations, India, 35-44 years, ?
 Oklahoma,2003,1573,728,845, Professional and technical, ?, 25-34 years, ?
 Oklahoma,2004,1765,842,923, Professional and technical, ?, 25-34 years, ?
 Oklahoma,2005,1799,787,1012, Professional and technical, ?, 25-34 years, ?
 Oklahoma,2006,2246,1060,1186, Students or children, Mexico, 25-34 years, ?
 Oklahoma,2007,1812,840,972, Management/ professional/ and related occupations, Mexico, 35-44 years, ?
 Oklahoma,2008,3335,1432,1903, Management/ professional/ and related occupations, Mexico, 35-44 years, ?
 Oklahoma,2009,2256,1079,1177, Management/ professional/ and related occupations, Mexico, 25-34 years, ?
 Oklahoma,2010,2678,1377,1301, Management/ professional/ and related occupations, Mexico, 25-34 years, ?
 Oregon,2003,4300,1889,2411, Professional and technical, ?, 25-34 years, ?
 Oregon,2004,3612,1574,2038, Service, ?, 25-34 years, ?
 Oregon,2005,4777,1999,2778, Professional and technical, ?, 25-34 years, ?
 Oregon,2006,4332,1886,2446, Management/ professional/ and related occupations, Mexico, 35-44 years, ?
 Oregon,2007,5572,2453,3119, Management/ professional/ and related occupations, Mexico, 35-44 years, ?
 Oregon,2008,9257,3992,5265, Management/ professional/ and related occupations, Mexico, 35-44 years, ?
 Oregon,2009,5051,2350,2701, Management/ professional/ and related occupations, Mexico, 35-44 years, ?
 Oregon,2010,4910,2213,2697, Management/ professional/ and related occupations, Mexico, 35-44 years, ?
 Pennsylvania,2003,9443,4386,5057, Professional and technical, ?, 35-44 years, ?
 Pennsylvania,2004,10205,4816,5389, Professional and technical, ?, 35-44 years, ?
 Pennsylvania,2005,13307,6077,7230, Operators/ fabricators/ laborers, ?, 35-44 years, ?
 Pennsylvania,2006,15846,7287,8559, Students or children, India, 35-44 years, ?
 Pennsylvania,2007,11371,5192,6179, Management/ professional/ and related occupations, India, 35-44 years, ?
 Pennsylvania,2008,19673,8915,10758, Students or children, India, 35-44 years, ?
 Pennsylvania,2009,16905,8090,8815, Management/ professional/ and related occupations, India, 35-44 years, ?
 Pennsylvania,2010,16143,7736,8407, Management/ professional/ and related occupations, India, 35-44 years, ?
 Puerto Rico,2008,2622,1094,1528, Management/ professional/ and related occupations, Dominican Republic, 35-44 years, ?
 Puerto Rico,2009,1253,538,715, Management/ professional/ and related occupations, Dominican Republic, 35-44 years, ?
 Puerto Rico,2010,1318,610,708, Management/ professional/ and related occupations, Dominican Republic, 55-64 years, ?
 Rhode Island,2003,1620,674,946, Operators/ fabricators/ laborers, ?, 35-44 years, ?
 Rhode Island,2004,2185,938,1247, Operators/ fabricators/ laborers, ?, 25-34 years, ?
 Rhode Island,2005,2604,1165,1439, Operators/ fabricators/ laborers, ?, 35-44 years, ?
 Rhode Island,2006,2266,970,1296, Production/ transportation/ and material moving occupations, Dominican Republic, 25-34 years, ?
 Rhode Island,2007,2088,815,1273, Production/ transportation/ and material moving occupations, Dominican Republic, 25-34 years, ?
 Rhode Island,2008,3721,1557,2164, Production/ transportation/ and material moving occupations, Dominican Republic, 35-44 years, ?
 Rhode Island,2009,2458,1207,1251, Production/ transportation/ and material moving occupations, Dominican Republic, 35-44 years, ?
