 Aruba,2003,number of immigrants,19.0,Occupation,"Farming, forestry, fisheries",Leading states of permanent residence,,Leading countries of birth,,number male,0.0,number female,19.0,2004,number of immigrants,30.0,Occupation,Professional and technical,Leading states of permanent residence,,Leading countries of birth,,number male,12.0,number female,18.0,2005,number of immigrants,39.0,Occupation,"Farming, forestry, fisheries",Leading states of permanent residence,,Leading countries of birth,,number male,20.0,number female,19.0,2006,number of immigrants,44.0,Occupation,Students or children,Leading states of permanent residence,Florida,Leading countries of birth,,number male,16.0,number female,28.0,2007,number of immigrants,,Occupation,,Leading states of permanent residence,,Leading countries of birth,,number male,,number female,,2008,number of immigrants,55.0,Occupation,Students or children,Leading states of permanent residence,Florida,Leading countries of birth,,number male,29.0,number female,26.0,2009,number of immigrants,,Occupation,,Leading states of permanent residence,,Leading countries of birth,,number male,,number female,,2010,number of immigrants,27.0,Occupation,Sales and office occupations,Leading states of permanent residence,Arizona,Leading countries of birth,,number male,9.0,number female,18.0
 Asia,2003,number of immigrants,,Occupation,,Leading states of permanent residence,,Leading countries of birth,,number male,,number female,,2004,number of immigrants,,Occupation,,Leading states of permanent residence,,Leading countries of birth,,number male,,number female,,2005,number of immigrants,,Occupation,,Leading states of permanent residence,,Leading countries of birth,,number male,,number female,,2006,number of immigrants,257125.0,Occupation,"Management, professional, and related occupations",Leading states of permanent residence,California,Leading countries of birth,,number male,111280.0,number female,145435.0,2007,number of immigrants,238797.0,Occupation,"Management, professional, and related occupations",Leading states of permanent residence,California,Leading countries of birth,,number male,103731.0,number female,134952.0,2008,number of immigrants,323792.0,Occupation,"Management, professional, and related occupations",Leading states of permanent residence,California,Leading countries of birth,,number male,142146.0,number female,181536.0,2009,number of immigrants,276375.0,Occupation,"Management, professional, and related occupations",Leading states of permanent residence,California,Leading countries of birth,,number male,126079.0,number female,150230.0,2010,number of immigrants,251598.0,Occupation,"Management, professional, and related occupations",Leading states of permanent residence,California,Leading countries of birth,,number male,115002.0,number female,136558.0
 Australia,2003,number of immigrants,882.0,Occupation,Professional and technical,Leading states of permanent residence,,Leading countries of birth,,number male,431.0,number female,449.0,2004,number of immigrants,1295.0,Occupation,Professional and technical,Leading states of permanent residence,,Leading countries of birth,,number male,594.0,number female,695.0,2005,number of immigrants,1155.0,Occupation,Professional and technical,Leading states of permanent residence,,Leading countries of birth,,number male,543.0,number female,611.0,2006,number of immigrants,1240.0,Occupation,"Management, professional, and related occupations",Leading states of permanent residence,California,Leading countries of birth,,number male,576.0,number female,661.0,2007,number of immigrants,,Occupation,,Leading states of permanent residence,,Leading countries of birth,,number male,,number female,,2008,number of immigrants,1636.0,Occupation,"Management, professional, and related occupations",Leading states of permanent residence,California,Leading countries of birth,,number male,748.0,number female,888.0,2009,number of immigrants,1392.0,Occupation,"Management, professional, and related occupations",Leading states of permanent residence,California,Leading countries of birth,,number male,679.0,number female,713.0,2010,number of immigrants,1202.0,Occupation,"Management, professional, and related occupations",Leading states of permanent residence,California,Leading countries of birth,,number male,606.0,number female,596.0
 Austria,2003,number of immigrants,240.0,Occupation,Professional and technical,Leading states of permanent residence,,Leading countries of birth,,number male,106.0,number female,133.0,2004,number of immigrants,277.0,Occupation,Professional and technical,Leading states of permanent residence,,Leading countries of birth,,number male,127.0,number female,147.0,2005,number of immigrants,307.0,Occupation,Professional and technical,Leading states of permanent residence,,Leading countries of birth,,number male,143.0,number female,163.0,2006,number of immigrants,359.0,Occupation,"Management, professional, and related occupations",Leading states of permanent residence,California,Leading countries of birth,,number male,151.0,number female,205.0,2007,number of immigrants,292.0,Occupation,"Management, professional, and related occupations",Leading states of permanent residence,California,Leading countries of birth,,number male,148.0,number female,144.0,2008,number of immigrants,357.0,Occupation,"Management, professional, and related occupations",Leading states of permanent residence,California,Leading countries of birth,,number male,159.0,number female,197.0,2009,number of immigrants,303.0,Occupation,"Management, professional, and related occupations",Leading states of permanent residence,California,Leading countries of birth,,number male,141.0,number female,162.0,2010,number of immigrants,277.0,Occupation,"Management, professional, and related occupations",Leading states of permanent residence,California,Leading countries of birth,,number male,142.0,number female,135.0
 Azerbaijan,2003,number of immigrants,886.0,Occupation,Professional and technical,Leading states of permanent residence,,Leading countries of birth,,number male,383.0,number female,503.0,2004,number of immigrants,793.0,Occupation,Professional and technical,Leading states of permanent residence,,Leading countries of birth,,number male,324.0,number female,464.0,2005,number of immigrants,904.0,Occupation,Professional and technical,Leading states of permanent residence,,Leading countries of birth,,number male,365.0,number female,537.0,2006,number of immigrants,997.0,Occupation,Students or children,Leading states of permanent residence,New York,Leading countries of birth,,number male,412.0,number female,585.0,2007,number of immigrants,606.0,Occupation,Students or children,Leading states of permanent residence,New York,Leading countries of birth,,number male,250.0,number female,356.0,2008,number of immigrants,834.0,Occupation,"Management, professional, and related occupations",Leading states of permanent residence,New York,Leading countries of birth,,number male,348.0,number female,486.0,2009,number of immigrants,1005.0,Occupation,"Management, professional, and related occupations",Leading states of permanent residence,New York,Leading countries of birth,,number male,441.0,number female,564.0,2010,number of immigrants,1233.0,Occupation,"Management, professional, and related occupations",Leading states of permanent residence,California,Leading countries of birth,,number male,489.0,number female,744.0
" Bahamas, The",2003,number of immigrants,342.0,Occupation,Professional and technical,Leading states of permanent residence,,Leading countries of birth,,number male,147.0,number female,195.0,2004,number of immigrants,378.0,Occupation,Professional and technical,Leading states of permanent residence,,Leading countries of birth,,number male,148.0,number female,229.0,2005,number of immigrants,343.0,Occupation,Professional and technical,Leading states of permanent residence,,Leading countries of birth,,number male,123.0,number female,220.0,2006,number of immigrants,574.0,Occupation,"Management, professional, and related occupations",Leading states of permanent residence,Florida,Leading countries of birth,,number male,198.0,number female,376.0,2007,number of immigrants,,Occupation,,Leading states of permanent residence,,Leading countries of birth,,number male,,number female,,2008,number of immigrants,838.0,Occupation,"Management, professional, and related occupations",Leading states of permanent residence,Florida,Leading countries of birth,,number male,279.0,number female,559.0,2009,number of immigrants,569.0,Occupation,"Management, professional, and related occupations",Leading states of permanent residence,Florida,Leading countries of birth,,number male,229.0,number female,340.0,2010,number of immigrants,475.0,Occupation,"Management, professional, and related occupations",Leading states of permanent residence,Florida,Leading countries of birth,,number male,193.0,number female,282.0
 Bahrain,2003,number of immigrants,31.0,Occupation,"Farming, forestry, fisheries",Leading states of permanent residence,,Leading countries of birth,,number male,15.0,number female,16.0,2004,number of immigrants,54.0,Occupation,"Farming, forestry, fisheries",Leading states of permanent residence,,Leading countries of birth,,number male,30.0,number female,24.0,2005,number of immigrants,57.0,Occupation,"Farming, forestry, fisheries",Leading states of permanent residence,,Leading countries of birth,,number male,33.0,number female,24.0,2006,number of immigrants,81.0,Occupation,Students or children,Leading states of permanent residence,California,Leading countries of birth,,number male,43.0,number female,38.0,2007,number of immigrants,56.0,Occupation,Students or children,Leading states of permanent residence,California,Leading countries of birth,,number male,29.0,number female,27.0,2008,number of immigrants,85.0,Occupation,Students or children,Leading states of permanent residence,California,Leading countries of birth,,number male,49.0,number female,36.0,2009,number of immigrants,91.0,Occupation,"Management, professional, and related occupations",Leading states of permanent residence,Texas,Leading countries of birth,,number male,48.0,number female,43.0,2010,number of immigrants,102.0,Occupation,"Management, professional, and related occupations",Leading states of permanent residence,California,Leading countries of birth,,number male,54.0,number female,48.0
 Bangladesh,2003,number of immigrants,4345.0,Occupation,Sales,Leading states of permanent residence,,Leading countries of birth,,number male,2423.0,number female,1921.0,2004,number of immigrants,5148.0,Occupation,Sales,Leading states of permanent residence,,Leading countries of birth,,number male,2841.0,number female,2288.0,2005,number of immigrants,5503.0,Occupation,Sales,Leading states of permanent residence,,Leading countries of birth,,number male,3104.0,number female,2396.0,2006,number of immigrants,6683.0,Occupation,Students or children,Leading states of permanent residence,New York,Leading countries of birth,,number male,3371.0,number female,3307.0,2007,number of immigrants,4746.0,Occupation,"Management, professional, and related occupations",Leading states of permanent residence,New York,Leading countries of birth,,number male,2573.0,number female,2172.0,2008,number of immigrants,5345.0,Occupation,"Management, professional, and related occupations",Leading states of permanent residence,New York,Leading countries of birth,,number male,2847.0,number female,2497.0,2009,number of immigrants,6644.0,Occupation,"Management, professional, and related occupations",Leading states of permanent residence,New York,Leading countries of birth,,number male,3532.0,number female,3111.0,2010,number of immigrants,6979.0,Occupation,"Management, professional, and related occupations",Leading states of permanent residence,New York,Leading countries of birth,,number male,3629.0,number female,3350.0
 Barbados,2003,number of immigrants,663.0,Occupation,Service,Leading states of permanent residence,,Leading countries of birth,,number male,266.0,number female,397.0,2004,number of immigrants,650.0,Occupation,Service,Leading states of permanent residence,,Leading countries of birth,,number male,263.0,number female,380.0,2005,number of immigrants,778.0,Occupation,Professional and technical,Leading states of permanent residence,,Leading countries of birth,,number male,292.0,number female,482.0,2006,number of immigrants,1006.0,Occupation,"Management, professional, and related occupations",Leading states of permanent residence,New York,Leading countries of birth,,number male,398.0,number female,607.0,2007,number of immigrants,,Occupation,,Leading states of permanent residence,,Leading countries of birth,,number male,,number female,,2008,number of immigrants,1203.0,Occupation,"Management, professional, and related occupations",Leading states of permanent residence,New York,Leading countries of birth,,number male,441.0,number female,762.0,2009,number of immigrants,878.0,Occupation,"Management, professional, and related occupations",Leading states of permanent residence,New York,Leading countries of birth,,number male,362.0,number female,516.0,2010,number of immigrants,535.0,Occupation,"Management, professional, and related occupations",Leading states of permanent residence,New York,Leading countries of birth,,number male,230.0,number female,305.0
 Belarus,2003,number of immigrants,1224.0,Occupation,Professional and technical,Leading states of permanent residence,,Leading countries of birth,,number male,578.0,number female,646.0,2004,number of immigrants,1464.0,Occupation,Professional and technical,Leading states of permanent residence,,Leading countries of birth,,number male,633.0,number female,828.0,2005,number of immigrants,1549.0,Occupation,Professional and technical,Leading states of permanent residence,,Leading countries of birth,,number male,659.0,number female,890.0,2006,number of immigrants,1769.0,Occupation,Students or children,Leading states of permanent residence,New York,Leading countries of birth,,number male,758.0,number female,1010.0,2007,number of immigrants,1401.0,Occupation,Students or children,Leading states of permanent residence,New York,Leading countries of birth,,number male,569.0,number female,832.0,2008,number of immigrants,1767.0,Occupation,Students or children,Leading states of permanent residence,New York,Leading countries of birth,,number male,730.0,number female,1036.0,2009,number of immigrants,1583.0,Occupation,"Management, professional, and related occupations",Leading states of permanent residence,New York,Leading countries of birth,,number male,642.0,number female,941.0,2010,number of immigrants,1523.0,Occupation,"Management, professional, and related occupations",Leading states of permanent residence,New York,Leading countries of birth,,number male,595.0,number female,928.0
 Belgium,2003,number of immigrants,250.0,Occupation,Professional and technical,Leading states of permanent residence,,Leading countries of birth,,number male,108.0,number female,141.0,2004,number of immigrants,232.0,Occupation,Professional and technical,Leading states of permanent residence,,Leading countries of birth,,number male,104.0,number female,124.0,2005,number of immigrants,247.0,Occupation,Professional and technical,Leading states of permanent residence,,Leading countries of birth,,number male,118.0,number female,128.0,2006,number of immigrants,355.0,Occupation,"Management, professional, and related occupations",Leading states of permanent residence,California,Leading countries of birth,,number male,160.0,number female,195.0,2007,number of immigrants,248.0,Occupation,"Management, professional, and related occupations",Leading states of permanent residence,California,Leading countries of birth,,number male,109.0,number female,139.0,2008,number of immigrants,716.0,Occupation,"Management, professional, and related occupations",Leading states of permanent residence,California,Leading countries of birth,,number male,322.0,number female,394.0,2009,number of immigrants,673.0,Occupation,"Management, professional, and related occupations",Leading states of permanent residence,California,Leading countries of birth,,number male,310.0,number female,363.0,2010,number of immigrants,523.0,Occupation,"Management, professional, and related occupations",Leading states of permanent residence,California,Leading countries of birth,,number male,259.0,number female,264.0
 Belize,2003,number of immigrants,665.0,Occupation,Service,Leading states of permanent residence,,Leading countries of birth,,number male,258.0,number female,407.0,2004,number of immigrants,664.0,Occupation,Service,Leading states of permanent residence,,Leading countries of birth,,number male,259.0,number female,405.0,2005,number of immigrants,704.0,Occupation,Professional and technical,Leading states of permanent residence,,Leading countries of birth,,number male,270.0,number female,433.0,2006,number of immigrants,918.0,Occupation,"Management, professional, and related occupations",Leading states of permanent residence,California,Leading countries of birth,,number male,339.0,number female,576.0,2007,number of immigrants,,Occupation,,Leading states of permanent residence,,Leading countries of birth,,number male,,number female,,2008,number of immigrants,1291.0,Occupation,"Management, professional, and related occupations",Leading states of permanent residence,California,Leading countries of birth,,number male,413.0,number female,877.0,2009,number of immigrants,854.0,Occupation,"Management, professional, and related occupations",Leading states of permanent residence,California,Leading countries of birth,,number male,346.0,number female,508.0,2010,number of immigrants,556.0,Occupation,"Management, professional, and related occupations",Leading states of permanent residence,California,Leading countries of birth,,number male,199.0,number female,357.0
 Benin,2003,number of immigrants,27.0,Occupation,Military,Leading states of permanent residence,,Leading countries of birth,,number male,18.0,number female,9.0,2004,number of immigrants,42.0,Occupation,"Farming, forestry, fisheries",Leading states of permanent residence,,Leading countries of birth,,number male,29.0,number female,13.0,2005,number of immigrants,56.0,Occupation,"Farming, forestry, fisheries",Leading states of permanent residence,,Leading countries of birth,,number male,34.0,number female,22.0,2006,number of immigrants,64.0,Occupation,Students or children,Leading states of permanent residence,Maryland,Leading countries of birth,,number male,47.0,number female,17.0,2007,number of immigrants,61.0,Occupation,Students or children,Leading states of permanent residence,Illinois,Leading countries of birth,,number male,40.0,number female,21.0,2008,number of immigrants,79.0,Occupation,Students or children,Leading states of permanent residence,Maryland,Leading countries of birth,,number male,54.0,number female,25.0,2009,number of immigrants,119.0,Occupation,Service occupations,Leading states of permanent residence,Maryland,Leading countries of birth,,number male,70.0,number female,49.0,2010,number of immigrants,127.0,Occupation,"Management, professional, and related occupations",Leading states of permanent residence,Maryland,Leading countries of birth,,number male,84.0,number female,43.0
 Bermuda,2003,number of immigrants,38.0,Occupation,Professional and technical,Leading states of permanent residence,,Leading countries of birth,,number male,16.0,number female,22.0,2004,number of immigrants,47.0,Occupation,"Farming, forestry, fisheries",Leading states of permanent residence,,Leading countries of birth,,number male,23.0,number female,23.0,2005,number of immigrants,58.0,Occupation,"Farming, forestry, fisheries",Leading states of permanent residence,,Leading countries of birth,,number male,30.0,number female,27.0,2006,number of immigrants,72.0,Occupation,Students or children,Leading states of permanent residence,Florida,Leading countries of birth,,number male,31.0,number female,41.0,2007,number of immigrants,,Occupation,,Leading states of permanent residence,,Leading countries of birth,,number male,,number female,,2008,number of immigrants,75.0,Occupation,Students or children,Leading states of permanent residence,Florida,Leading countries of birth,,number male,30.0,number female,45.0,2009,number of immigrants,80.0,Occupation,"Management, professional, and related occupations",Leading states of permanent residence,California,Leading countries of birth,,number male,32.0,number female,48.0,2010,number of immigrants,65.0,Occupation,"Management, professional, and related occupations",Leading states of permanent residence,Florida,Leading countries of birth,,number male,35.0,number female,30.0
 Bhutan,2003,number of immigrants,0.0,Occupation,"Farming, forestry, fisheries",Leading states of permanent residence,,Leading countries of birth,,number male,0.0,number female,0.0,2004,number of immigrants,0.0,Occupation,"Farming, forestry, fisheries",Leading states of permanent residence,,Leading countries of birth,,number male,0.0,number female,0.0,2005,number of immigrants,,Occupation,,Leading states of permanent residence,,Leading countries of birth,,number male,,number female,,2006,number of immigrants,,Occupation,,Leading states of permanent residence,,Leading countries of birth,,number male,,number female,,2007,number of immigrants,,Occupation,,Leading states of permanent residence,,Leading countries of birth,,number male,,number female,,2008,number of immigrants,,Occupation,,Leading states of permanent residence,,Leading countries of birth,,number male,,number female,,2009,number of immigrants,17.0,Occupation,Students or children,Leading states of permanent residence,Georgia,Leading countries of birth,,number male,10.0,number female,7.0,2010,number of immigrants,50.0,Occupation,"Management, professional, and related occupations",Leading states of permanent residence,Virginia,Leading countries of birth,,number male,32.0,number female,18.0
 Bolivia,2003,number of immigrants,,Occupation,,Leading states of permanent residence,,Leading countries of birth,,number male,,number female,,2004,number of immigrants,1125.0,Occupation,Service,Leading states of permanent residence,,Leading countries of birth,,number male,501.0,number female,623.0,2005,number of immigrants,1361.0,Occupation,Professional and technical,Leading states of permanent residence,,Leading countries of birth,,number male,596.0,number female,765.0,2006,number of immigrants,1630.0,Occupation,"Management, professional, and related occupations",Leading states of permanent residence,Virginia,Leading countries of birth,,number male,749.0,number female,878.0,2007,number of immigrants,,Occupation,,Leading states of permanent residence,,Leading countries of birth,,number male,,number female,,2008,number of immigrants,2807.0,Occupation,"Management, professional, and related occupations",Leading states of permanent residence,Virginia,Leading countries of birth,,number male,1142.0,number female,1664.0,2009,number of immigrants,1700.0,Occupation,"Management, professional, and related occupations",Leading states of permanent residence,Virginia,Leading countries of birth,,number male,749.0,number female,951.0,2010,number of immigrants,1185.0,Occupation,"Management, professional, and related occupations",Leading states of permanent residence,Virginia,Leading countries of birth,,number male,523.0,number female,662.0
